Vehicle_Type,Public Vehicle Number,Status,Vehicle_Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,Record ID
Taxi,5644,ACTIVE,TOYOTA,CAMRY,2010,YELLOW,Hybrid,N,"LINCOLNSHIRE SERVICE II, CORP.",CHICAGO,IL,5644Taxi
Livery,8287,ACTIVE,CHEVROLET,SUBURBAN,2013,BLACK,Gasoline,N,LAKESHORE LIMO INC.,CHICAGO,IL,8287Livery
Charter Sightseeing,12259,RESERVED,FORD,EXPEDITION,2007,WHITE,Gasoline,N,CLUB CHITOWN LIMOUSINE INC,CHICAGO,IL,12259Charter Sightseeing
Livery,9752,ACTIVE,CHRYSLER,E350,2013,BLACK,Gasoline,N,"CHICAGO CHAUFFEURS LIMOUSINE, INC.",CHICAGO,IL,9752Livery
Taxi,6610,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO POLO I INC.,CHICAGO,IL,6610Taxi
Taxi,1917,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,AMPLE SUN CAB CORP.,CHICAGO,IL,1917Taxi
Medicar,7477,ACTIVE,FORD,E250,2010,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,SKOKIE,IL,7477Medicar
Taxi,4063,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,ZEN TAXI LLC,CHICAGO,IL,4063Taxi
Taxi,6461,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,DOLFINA TAXI INC,CHICAGO,IL,6461Taxi
Taxi,2767,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,SEYED M. BADRI,CHICAGO,IL,2767Taxi
Livery,7151,ACTIVE,FORD,EXPEDITION,2014,BLACK,Gasoline,N,"LIMO4U, INC.",CHICAGO,IL,7151Livery
Livery,8212,ACTIVE,CADILLAC,XTS,2015,BLACK,Gasoline,N,ESSENCE OF LIVERY INC,CHICAGO,IL,8212Livery
Taxi,1937,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,YAKUB CAB CO,CHICAGO,IL,1937Taxi
Taxi,2538,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,TEL AVIV CAB CORP.,CHICAGO,IL,2538Taxi
Taxi,1093,ACTIVE,VPG,MV-1,2012,YELLOW,Compressed Natural Gas,Y,YC18 LLC,CHICAGO,IL,1093Taxi
Taxi,4653,ACTIVE,FORD,ESCAPE,2011,YELLOW,Hybrid,N,NECT 25 LLC,CHICAGO,IL,4653Taxi
Livery,7603,RESERVED,LINCOLN,TOWN CAR,2009,BLACK,Gasoline,N,"HIGH STANDARDS CAR SERVICES, INC.",CHICAGO,IL,7603Livery
Taxi,6659,ACTIVE,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,SREE CAB CO,CHICAGO,IL,6659Taxi
