Vehicle Type,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
Taxi,5644,ACTIVE,TOYOTA,CAMRY,2010,YELLOW,Hybrid,N,"LINCOLNSHIRE SERVICE II, CORP.",3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,5644Taxi
Livery,8287,ACTIVE,CHEVROLET,SUBURBAN,2013,BLACK,Gasoline,N,LAKESHORE LIMO INC.,1433 W. FARWELL AVE.,CHICAGO,IL,60626,,,8287Livery
Charter Sightseeing,12259,RESERVED,FORD,EXPEDITION,2007,WHITE,Gasoline,N,CLUB CHITOWN LIMOUSINE INC,40 E. CHICAGO AVE.,CHICAGO,IL,60611,,,12259Charter Sightseeing
Livery,9752,ACTIVE,CHRYSLER,300,2013,BLACK,Gasoline,N,"CHICAGO CHAUFFEURS LIMOUSINE, INC.",1710 W. CHICAGO AVE.,CHICAGO,IL,60622,,,9752Livery
Taxi,6610,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,CHICAGO POLO I INC.,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,6610Taxi
Taxi,1917,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,AMPLE SUN CAB CORP.,2617 S. WABASH AVE.,CHICAGO,IL,60616,Royal 3 Ccc Chicago Taxi Assoc,Chicago Elite Cab Corp.,1917Taxi
Medicar,7477,ACTIVE,FORD,E250,2010,WHITE,Gasoline,N,MEDICAL EXPRESS AMBULANCE SERV,5650 W. HOWARD ST.,SKOKIE,IL,60077,,,7477Medicar
Taxi,4063,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,ZEN TAXI LLC,4536 N. ELSTON AVE.,CHICAGO,IL,60630,Dispatch Taxi Affil,Northwest Taxi Management LLC,4063Taxi
Taxi,6461,ACTIVE,FORD,ESCAPE,2012,MAROON/BLUE/STRIPES,Hybrid,N,DOLFINA TAXI INC,2617 S. WABASH AVE.,CHICAGO,IL,60616,Chicago Carriage Cab,Chicago Elite Cab Corp.,6461Taxi
Taxi,2767,ACTIVE,TOYOTA,CAMRY,2013,BLUE/WHITE,Hybrid,N,SEYED M. BADRI,510 W. BELMONT AVE.,CHICAGO,IL,60657,Sun Taxi Association Inc,"Sun Financial Services, Inc.",2767Taxi
Livery,7151,ACTIVE,FORD,EXPEDITION,2014,BLACK,Gasoline,N,"LIMO4U, INC.",2120 W. LAKE ST.,CHICAGO,IL,60612,Independent1,,7151Livery
Livery,8212,ACTIVE,CADILLAC,XTS,2015,BLACK,Gasoline,N,ESSENCE OF LIVERY INC,23 S. CENTRAL AVE.,CHICAGO,IL,60644,Independent1,,8212Livery
Taxi,1937,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,YAKUB CAB CO,3351 W. ADDISON ST.,CHICAGO,IL,60618,Yellow Cab Affiliation Inc,Owner Manager,1937Taxi
